name,success,vote_average,vote_count,director_popularity,cast_popularity,movie_popularity,reputable_production,budget_info,budget,revenue,runtime,tmdb_id,imdb_id,reviews,sentiment,year,month,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,science_fiction,tv_movie,thriller,war,western
Inception,1,8.369,36021,63.116,716.817,120.13,1,1,160000000,825532764,148,27205,tt1375666,1,0.72055,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interstellar,1,8.438,34756,63.116,749.336,226.18,1,1,165000000,701729206,169,157336,tt0816692,1,0.8656625,14,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight,1,8.516,32235,63.116,1213.634,178.218,1,1,185000000,1004558444,152,155,tt0468569,1,0.6480230769230769,8,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Avatar,1,7.582,31067,19.221,552.352,115.791,1,1,237000000,2923706026,162,19995,tt0499549,1,0.84265,9,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Avengers,1,7.716,30268,11.448,1075.793,154.699,1,1,220000000,1518815515,143,24428,tt0848228,1,0.781885,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deadpool,1,7.616,30187,13.825,524.364,398.613,1,1,58000000,782837347,108,293660,tt1431045,1,0.9075272727272728,16,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,1,8.246,29148,11.116,1812.322,241.883,1,1,300000000,2052415039,149,299536,tt4154756,1,0.4362199999999999,18,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guardians of the Galaxy,1,7.909,27625,20.86,1104.153,66.322,1,1,170000000,772776600,121,118340,tt2015381,1,0.8540923076923076,14,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Philosopher's Stone,1,7.914,26802,14.159,771.217,219.27,1,1,125000000,976475550,152,671,tt0241527,1,0.979,1,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iron Man,1,7.645,25933,35.221,586.207,113.434,1,1,140000000,585174222,126,1726,tt0371746,1,0.82331,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Django Unchained,1,8.181,25785,34.988,1101.367,89.156,1,1,100000000,425368238,165,68718,tt1853728,1,0.1267285714285714,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Avengers: Endgame,1,8.254,25109,11.116,2550.787,139.259,1,1,356000000,2799439100,181,299534,tt4154796,1,0.452625,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Joker,1,8.159,24886,10.864,532.274,97.842,1,1,55000000,1078958629,122,475557,tt7286456,1,0.2115263157894737,19,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Lord of the Rings: The Fellowship of the Ring,1,8.415,24580,23.731,719.089,197.092,1,1,93000000,871368364,179,120,tt0120737,1,0.9161888888888888,1,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,1,8.482,23640,23.731,927.91,161.482,1,1,94000000,1118888979,201,122,tt0167260,1,0.2807142857142857,3,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shutter Island,1,8.203,23517,30.804,492.423,86.626,1,1,80000000,294804195,138,11324,tt1130884,1,0.6443875,10,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Wolf of Wall Street,1,8.037,23471,30.804,1172.37,116.645,0,1,100000000,392000000,180,106646,tt0993846,1,0.8614,13,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,1,7.274,22603,11.448,1148.215,139.143,1,1,365000000,1405403694,141,99861,tt2395427,1,0.670755,15,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Captain America: Civil War,1,7.443,22338,11.116,1186.351,126.28,1,1,250000000,1155046416,147,271110,tt3498820,1,0.47067,16,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,1,7.781,22296,63.116,2034.433,99.941,1,1,250000000,1081041287,165,49026,tt1345836,1,0.8479181818181818,12,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Mad Max: Fury Road,1,7.607,22136,16.273,517.271,240.429,1,1,150000000,378858340,121,76341,tt1392190,1,0.2260615384615384,15,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Panther,1,7.386,21847,13.694,629.524,83.557,1,1,200000000,1349926083,135,284054,tt1825683,1,0.602035,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Inglourious Basterds,1,8.22,21839,34.988,810.526,90.301,1,1,70000000,321457747,153,16869,tt0361748,1,0.709075,9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Iron Man 3,1,6.93,21833,5.677,1017.456,98.729,1,1,200000000,1215577205,130,68721,tt1300854,1,0.3942333333333334,13,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games,1,7.209,21606,8.68,780.354,42.367,1,1,75000000,694394724,142,70160,tt1392170,1,0.2453285714285714,12,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Chamber of Secrets,1,7.721,21499,14.159,935.307,191.248,1,1,100000000,876688482,161,672,tt0295297,1,0.8253333333333334,2,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,1,7.338,21399,9.877,1043.701,111.394,1,1,175000000,880166924,133,315635,tt2250912,1,0.7620833333333333,17,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
The Lord of the Rings: The Two Towers,1,8.397,21364,23.731,920.464,89.173,1,1,79000000,926287400,179,121,tt0167261,1,0.6223666666666666,2,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inside Out,1,7.916,21258,17.04,599.234,704.738,1,1,175000000,857611174,95,150540,tt2096673,1,0.54253,15,6,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy Vol. 2,1,7.62,21198,20.86,1056.67,107.226,1,1,200000000,863756051,137,283995,tt3896198,1,0.629685,17,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Prisoner of Azkaban,1,8.019,21103,17.987,914.496,191.368,1,1,130000000,789804554,141,673,tt0304141,1,0.3811,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Captain America: The First Avenger,1,7.001,21060,17.517,869.7090000000001,62.261,1,1,140000000,370569774,124,1771,tt0458339,1,0.8448285714285715,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Suicide Squad,0,5.917,20795,9.998,947.885,53.677,1,1,175000000,749200054,122,297761,tt1386697,1,0.0405333333333333,16,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thor,1,6.769,20782,26.439,821.748,94.702,1,1,150000000,449326618,115,10195,tt0800369,1,0.699255,11,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
