Name,Vote Average,Vote Count,Director Popularity,Cast Popularity,Genres,Movie Popularity,Production Companies,Budget,Revenue,Runtime,Release Date Month,TMDB ID,IMDB ID
Alien: Romulus,0.0,0,23.325,35.79083333333333,"['Science Fiction', 'Horror', 'Thriller']",121.408,"['20th Century Studios', 'Scott Free Productions', 'Brandywine Productions']",40000000,0,119,2024-08,945961,tt18412256
Borderlands,0.0,0,31.639,27.35173076923077,"['Action', 'Science Fiction', 'Adventure']",88.453,"['Picturestart', 'Arad Productions', 'Gearbox Studios', '2K', 'Media Capital Technologies', 'Lionsgate']",100000000,0,101,2024-08,365177,tt4978420
Saving Bikini Bottom: The Sandy Cheeks Movie,0.0,0,8.361,25.456954545454547,"['Animation', 'Comedy', 'Adventure', 'Family']",70.274,['Nickelodeon Movies'],0,0,82,2024-08,831815,tt23063732
It Ends with Us,0.0,0,26.779,30.790749999999996,"['Drama', 'Romance']",63.441,"['Wayfarer Studios', 'Saks Picture Company', 'Columbia Pictures']",0,0,130,2024-08,1079091,tt10655524
Harold and the Purple Crayon,0.0,0,23.264,34.62339999999999,"['Adventure', 'Family', 'Fantasy', 'Comedy']",44.958,"['Davis Entertainment', 'Columbia Pictures']",0,0,90,2024-08,826510,tt1609486
The Crow,0.0,0,4.365,17.66857142857143,"['Action', 'Fantasy', 'Horror']",48.416,"['The Electric Shadow Company', 'Davis Films', 'Pressman Film', 'Ashland Hill Media Finance']",50000000,0,111,2024-08,957452,tt1340094
The Instigators,0.0,0,30.156,28.406549999999992,"['Crime', 'Mystery', 'Action', 'Comedy']",36.329,"['Artists Equity', 'The Walsh Company', 'Apple Studios', 'Studio 8']",0,0,101,2024-08,1059064,tt24169886
Cuckoo,0.0,0,8.366,13.928565217391293,"['Horror', 'Mystery']",40.842,"['Waypoint Entertainment', 'Fiction Park', 'NEON', '100 Zeros']",0,0,103,2024-08,869291,tt12349832
Dìdi (弟弟),0.0,0,8.737,2.8819259259259264,"['Comedy', 'Drama']",34.905,"['Unapologetic Projects', 'Spark Features', 'Antigravity Academy', 'Maiden Voyage Pictures', 'Cedar Road', 'Liucrative Media']",0,0,94,2024-07,1158915,tt30319503
The Union,0.0,0,10.706,7.639451612903217,"['Action', 'Thriller']",29.053,"['Leverage Entertainment', 'Municipal Pictures', 'Closest to the Hole Productions']",0,0,109,2024-08,704239,tt12610390
The Duel,0.0,0,12.189,27.462899999999998,"['Comedy', 'Drama']",23.054,['Pigasus Pictures'],0,0,99,2024-07,1094605,tt26546715
Sebastian,0.0,0,3.097,8.256857142857141,['Drama'],22.877,"['Helsinki-filmi', 'Barry Crerar', 'Les Bêtes Sauvages', 'Lemming Film', 'Bêtes Sauvages']",0,0,110,2024-08,1067485,tt30317033
Jackpot!,0.0,0,23.001,19.3373125,"['Action', 'Comedy']",25.331,"['Roth-Kirschenbaum Films', 'Feigco Entertainment', 'Amazon MGM Studios']",0,0,104,2024-08,1094138,tt26940324
Running on Empty,0.0,0,0.001,21.252071428571433,"['Romance', 'Comedy']",18.885,"['ICM Partners', 'Analog 77 Films', 'Black Magic Productions', 'Redwire Pictures', 'Lucky 13 Productions']",0,0,91,2024-08,988512,tt21045564
Daughters,0.0,0,0.001,0,['Documentary'],18.687,"['Object & Animal', 'Epoch Films', 'World of HA Productions', 'Simpson Street', 'XTR']",0,0,108,2024-08,1214521,tt12336480
Watchmen: Chapter I,0.0,0,8.476,32.05231578947369,"['Animation', 'Mystery', 'Science Fiction', 'Action']",15.535,"['DC Entertainment', 'Warner Bros. Animation', 'Paramount Pictures']",0,0,83,2024-08,1155058,tt32627540
The Well,0.0,0,4.351,5.2216000000000005,['Horror'],13.013,['Iperuranio Film'],0,0,91,2024-08,1091267,tt26754354
My Penguin Friend,0.0,0,3.003,13.5442,"['Family', 'Drama', 'Adventure']",14.429,[],0,0,0,2024-08,1159799,tt8609660
One Fast Move,0.0,0,27.597,23.8919,"['Action', 'Drama']",14.62,"['GulfStream Pictures', 'Luber Roklin Entertainment']",0,0,107,2024-08,1281826,tt21096576
Lesbophilia,0.0,0,0.001,14.674800000000001,['Comedy'],10.507,[],0,0,15,2024-07,1122922,tt27629111
War Game,0.0,0,7.379,0,['Documentary'],9.068,"['Anonymous Content', 'Matador Content', 'Mile End Films', 'Quaker Moving Pictures']",0,0,94,2024-08,1186672,tt26681810
Rob Peace,0.0,0,54.649,15.406666666666663,"['Drama', 'History']",16.943,"['Los Angeles Media Fund', 'Participant', 'Hill District Media', '25 Stories']",0,0,120,2024-08,1084514,tt10740926
Duchess,0.0,0,17.958,17.652454545454546,"['Action', 'Crime', 'Thriller']",16.421,[],0,0,113,2024-08,1005076,tt18300732
